product_id,cluster
20001,17
20002,7
20003,16
20004,16
20005,16
20006,44
20007,44
20008,44
20009,11
20010,44
20011,44
20012,44
20013,48
20014,18
20015,18
20016,44
20017,44
20018,44
20019,16
20020,44
20021,44
20022,44
20023,16
20024,44
20025,44
20026,6
20027,15
20028,45
20029,44
20030,44
20031,44
20032,7
20033,44
20034,44
20035,44
20036,44
20037,44
20038,44
20039,44
20040,44
20041,37
20042,11
20043,44
20044,48
20045,18
20046,16
20047,44
20048,44
20049,48
20050,44
20051,17
20052,44
20053,34
20054,43
20055,44
20056,44
20057,44
20058,44
20059,43
20060,37
20061,43
20062,44
20063,11
20064,44
20065,44
20066,44
20067,45
20068,44
20069,45
20070,43
20071,39
20072,44
20073,50
20074,44
20075,43
20076,44
20077,44
20078,16
20079,44
20080,43
20081,48
20082,44
20083,44
20084,17
20085,17
20086,44
20087,28
20088,44
20089,11
20090,44
20091,39
20092,43
20093,48
20094,43
20095,16
20096,44
20097,44
20098,44
20099,44
20100,16
20101,48
20102,37
20103,43
20104,44
20105,44
20106,48
20107,48
20108,23
20109,44
20110,44
20111,16
20112,12
20113,42
20114,44
20115,44
20116,26
20117,44
20118,44
20119,16
20120,25
20121,17
20122,16
20123,48
20124,44
20125,48
20126,20
20127,10
20128,30
20129,43
20130,26
20131,44
20132,43
20133,48
20134,48
20135,17
20136,42
20137,44
20138,44
20139,48
20140,48
20141,44
20142,17
20143,17
20144,44
20145,48
20146,42
20147,44
20148,26
20149,26
20150,20
20151,44
20152,44
20153,48
20154,44
20155,48
20156,44
20157,48
20158,7
20159,17
20160,26
20161,17
20162,7
20163,46
20164,43
20165,47
20166,32
20167,48
20168,44
20169,44
20170,11
20171,44
20172,44
20173,44
20174,7
20175,48
20176,43
20177,44
20178,35
20179,48
20180,42
20181,44
20182,43
20183,44
20184,43
20185,44
20186,17
20187,43
20188,47
20189,12
20190,44
20191,46
20192,27
20193,28
20194,41
20195,44
20196,12
20197,44
20198,33
20199,44
20200,33
20201,42
20202,42
20203,36
20205,32
20206,44
20207,44
20208,25
20209,32
20210,5
20211,44
20212,5
20213,5
20214,6
20215,47
20216,44
20217,37
20218,37
20219,44
20220,44
20221,44
20222,44
20223,44
20224,12
20225,49
20226,44
20227,7
20228,44
20229,17
20230,49
20231,44
20232,7
20233,26
20234,44
20235,7
20236,7
20237,17
20238,43
20239,35
20240,41
20241,33
20242,44
20243,44
20244,44
20245,44
20246,49
20247,44
20248,44
20249,44
20250,44
20251,43
20252,47
20253,36
20254,13
20255,44
20256,25
20257,7
20258,7
20259,44
20260,37
20261,17
20262,37
20263,43
20264,25
20265,44
20266,17
20267,43
20268,43
20269,47
20270,27
20271,44
20272,44
20273,43
20274,44
20275,12
20276,43
20277,32
20278,44
20280,42
20281,34
20282,34
20283,47
20284,44
20285,44
20286,7
20287,7
20288,25
